label_name,bbox_x,bbox_y,bbox_width,bbox_height,image_name,image_width,image_height
Knife,293,165,221,158,20230912211513.jpg,640,480
Knife,337,189,97,178,20230912211542.jpg,640,480
Knife,221,284,202,63,20230912211627.jpg,640,480
Knife,304,288,186,134,20230912211757.jpg,640,480
Knife,61,183,449,228,20230912211817.jpg,640,480
Knife,58,159,445,190,20230912211818.jpg,640,480
Knife,37,92,508,206,20230912211829.jpg,640,480
Knife,179,207,409,273,20230912211832.jpg,640,480
Knife,135,98,415,262,20230912211835.jpg,640,480
Fork,143,157,71,174,20230912211850.jpg,640,480
Fork,146,151,103,162,20230912211908.jpg,640,480
Fork,126,163,102,160,20230912211910.jpg,640,480
Fork,101,156,103,163,20230912211912.jpg,640,480
Fork,423,111,105,151,20230912211917.jpg,640,480
Fork,158,87,151,129,20230912211933.jpg,640,480
Fork,107,195,174,36,20230912211952.jpg,640,480
Fork,119,202,123,128,20230912212001.jpg,640,480
Fork,132,212,95,148,20230912212005.jpg,640,480
Fork,195,113,85,157,20230912212007.jpg,640,480
Fork,66,98,206,164,20230912212012.jpg,640,480
Fork,54,84,252,164,20230912212022.jpg,640,480
Fork,264,90,202,116,20230912212028.jpg,640,480
Fork,70,144,228,201,20230912212032.jpg,640,480
Fork,183,21,203,238,20230912212034.jpg,640,480
Fork,184,105,79,307,20230912212040.jpg,640,480
Fork,116,2,95,262,20230912212043.jpg,640,480
Fork,125,134,208,295,20230912212045.jpg,640,480
Fork,278,256,185,224,20230912212046.jpg,640,480
Fork,125,101,150,280,20230912212050.jpg,640,480
Fork,252,57,70,401,20230912212114.jpg,640,480
Knife,253,199,97,164,20230912212507.jpg,640,480
Knife,202,48,80,190,20230912212542.jpg,640,480
Knife,361,291,69,170,20230912212548.jpg,640,480
Knife,401,228,57,156,20230912212550.jpg,640,480
Knife,392,186,86,135,20230912212611.jpg,640,480
Knife,418,219,165,143,20230912212628.jpg,640,480
Knife,470,196,43,176,20230912212638.jpg,640,480
Knife,400,191,59,156,20230912212646.jpg,640,480
Knife,204,136,70,187,20230912212735.jpg,640,480
Knife,239,216,94,161,20230912212741.jpg,640,480
Knife,403,246,125,106,20230912212756.jpg,640,480
Knife,391,238,128,114,20230912212757.jpg,640,480
Knife,271,49,234,417,20230912212847.jpg,640,480
Knife,311,79,232,339,20230912212853.jpg,640,480
Knife,339,118,191,307,20230912212856.jpg,640,480
Knife,387,172,162,41,20230912212915.jpg,640,480
Knife,155,60,168,45,20230912212959.jpg,640,480
Knife,304,153,130,21,20230912213008.jpg,640,480
Knife,237,83,362,345,20230912213019.jpg,640,480
Knife,252,119,109,163,20230912213026.jpg,640,480
Knife,264,166,144,112,20230912213030.jpg,640,480
Knife,205,185,55,166,20230912213040.jpg,640,480
Knife,48,276,177,57,20230912213045.jpg,640,480
Knife,148,230,171,71,20230912213047.jpg,640,480
Knife,184,246,149,139,20230912213056.jpg,640,480
Knife,392,105,165,30,20230912213121.jpg,640,480
Knife,102,167,92,154,20230912213130.jpg,640,480
Knife,147,192,159,109,20230912213132.jpg,640,480
Knife,114,230,177,76,20230912213133 (1).jpg,640,480
Knife,115,226,181,80,20230912213133.jpg,640,480
Knife,443,114,62,173,20230912213206.jpg,640,480
Knife,311,90,164,385,20230915122939.jpg,640,480
Knife,134,154,349,65,20230915123100.jpg,640,480
Knife,221,131,39,224,20230915123314 (1).jpg,640,480
Knife,222,134,38,227,20230915123314.jpg,640,480
Knife,149,64,97,219,20230915123323.jpg,640,480
Knife,82,239,201,34,20230915123326.jpg,640,480
Knife,117,220,250,188,20230915123336.jpg,640,480
Knife,15,130,256,197,20230915123338 (1).jpg,640,480
Knife,19,131,254,191,20230915123338.jpg,640,480
Knife,162,121,129,240,20230915123340.jpg,640,480
Knife,198,112,155,243,20230915123343.jpg,640,480
Knife,28,96,230,232,20230915123346 (1).jpg,640,480
Knife,30,99,235,226,20230915123346.jpg,640,480
Knife,102,104,211,228,20230915123347.jpg,640,480
Knife,84,141,176,122,20230915123419.jpg,640,480
Knife,77,130,222,165,20230915123428.jpg,640,480
Knife,92,208,161,202,20230915123432 (1).jpg,640,480
Knife,90,201,183,215,20230915123432.jpg,640,480
Knife,114,158,69,218,20230915123616.jpg,640,480
Knife,218,115,76,214,20230915123617.jpg,640,480
Knife,215,139,62,212,20230915123619.jpg,640,480
Knife,238,115,212,89,20230915123623.jpg,640,480
Knife,221,116,187,122,20230915123627 (1).jpg,640,480
Knife,219,118,186,126,20230915123627.jpg,640,480
Knife,238,124,181,125,20230915123628.jpg,640,480
Knife,231,129,185,126,20230915123629 (1).jpg,640,480
Knife,234,127,182,131,20230915123629.jpg,640,480
Knife,162,128,183,131,20230915123630.jpg,640,480
Knife,232,155,56,224,20230915123733.jpg,640,480
Knife,206,155,53,229,20230915123734.jpg,640,480
Knife,278,250,43,183,20230915123739 (1).jpg,640,480
Knife,277,249,51,182,20230915123739.jpg,640,480
Knife,330,231,44,187,20230915123740 (1).jpg,640,480
Knife,329,233,46,181,20230915123740.jpg,640,480
Knife,190,278,202,97,20230915123748 (1).jpg,640,480
Knife,183,276,205,102,20230915123748.jpg,640,480
Knife,152,268,203,101,20230915123749 (1).jpg,640,480
Knife,152,269,205,95,20230915123749.jpg,640,480
